method, of, time, rho, alpha, iterations, sol
heu, 1783.908, 233.2855851650238, 10, 1.1, 3, 30 30 30 30 30 30 30 30 26 30 30 30 23 22 21 20 18 16 12 16 13 7
heu, 1823.608, 161.3919379711151, 10, 10, 3, 30 30 30 30 30 30 30 30 27 30 30 30 24 23 22 21 19 17 13 17 14 8
heu, 1823.608, 140.21108627319336, 10, 100, 3, 30 30 30 30 30 30 30 30 27 30 30 30 24 23 22 21 19 17 13 17 14 8
heu, 1635.408, 139.3177375793457, 40, 1.1, 3, 30 30 30 30 30 30 30 30 26 30 30 30 23 22 21 20 18 16 12 16 13 7
heu, 1823.608, 155.70611429214478, 40, 10, 3, 30 30 30 30 30 30 30 30 27 30 30 30 24 23 22 21 19 17 13 17 14 8
heu, 1823.608, 140.61791586875916, 40, 100, 3, 30 30 30 30 30 30 30 30 27 30 30 30 24 23 22 21 19 17 13 17 14 8
heu, 1486.908, 138.661128282547, 70, 1.1, 3, 30 30 30 30 30 30 30 30 26 30 30 30 23 22 21 20 18 16 12 16 13 7
heu, 1823.608, 144.0017228126526, 70, 10, 3, 30 30 30 30 30 30 30 30 27 30 30 30 24 23 22 21 19 17 13 17 14 8
heu, 1823.608, 140.5553560256958, 70, 100, 3, 30 30 30 30 30 30 30 30 27 30 30 30 24 23 22 21 19 17 13 17 14 8
heu, 1338.4080000000038, 138.14240384101868, 100, 1.1, 3, 30 30 30 30 30 30 30 30 26 30 30 30 23 22 21 20 18 16 12 16 13 7
heu, 1823.608, 148.24863982200623, 100, 10, 3, 30 30 30 30 30 30 30 30 27 30 30 30 24 23 22 21 19 17 13 17 14 8
heu, 1823.608, 141.35537719726562, 100, 100, 3, 30 30 30 30 30 30 30 30 27 30 30 30 24 23 22 21 19 17 13 17 14 8
