in_samp_exact, in_samp_heu, out_samp_exact, out_samp_heu
4476.980999999458,4076.194,4796.978,4749.364
4344.441999999391,4082.492,4663.216,4848.276
4534.947999996982,4313.046,4744.728,4731.174
4430.127999999247,4163.058,4787.236,4802.864
4338.870000000081,4059.67,4731.208,4679.624
4516.334000000362,4136.92,4715.966,4719.616
4460.295000000595,4168.37,4512.906,4697.988
4540.526999998345,4434.37,4719.738,4779.032
4588.197999999954,4324.548,4812.824,4828.784
4471.061999999154,4051.917,4848.636,4815.166
4529.450999999633,3949.361,4531.198,4814.024
4512.792999998477,4065.853,4630.002,4763.68
4450.524999999991,4153.14,4816.1,4739.964
4679.972999999804,4165.425,4558.896,4735.694
4429.97899999927,4203.155,4581.794,4598.382
4601.449999998967,4160.106,4623.088,4649.3
4612.634999998624,4128.192,4699.294,4710.8
4585.9499999985965,4202.7,4816.146,4734.818
4430.796000000029,4064.745,4801.672,4872.632
4693.611999999378,4216.403,4648.094,4737.412
4454.6649999996525,4153.786,4675.928,4594.94
4503.413999998423,4185.356,4795.326,4869.268
4436.524999997641,4092.102,4954.908,4667.914
4516.963999999095,4166.23,4873.154,4732.434
4388.719999998315,4159.957,4774.848,5085.118
4617.915999999518,4149.112,4767.156,4722.066
4577.807999999519,4295.898,4699.172,4631.692
4522.4439999997,4171.223,4636.232,4806.954
4465.065000000506,4246.155,4668.656,4713.486
4569.8119999992505,4066.964,4680.176,4720.374
4565.089999999175,4221.999,4980.732,4635.146
4370.753999999703,4200.352,4747.274,4789.08
4494.0959999997,4175.541,4815.1,4646.696
4664.12499999709,4079.5,4676.274,4723.176
4729.456999998748,4250.398,4623.974,4611.196
4490.066999998819,4144.488,4769.154,4764.778
4662.609000000116,4164.638,4806.276,4682.678
4585.821000000327,4208.96,4940.574,4658.52
4467.915999998573,4190.971,4951.02,5049.726
4541.888999999356,4152.344,4580.536,4757.072
4648.794999999484,4224.493,4840.916,4666.154
4535.183999999531,4186.99,4680.764,4631.546
4604.563999998583,4148.36,4574.264,4742.912
4878.621999998025,4111.141,4751.264,4925.064
4568.261999998793,4321.301,4846.698,4990.15
4641.921999999485,4114.611,4628.332,4755.392
4442.852999998188,4219.864,4653.064,4814.58
4727.3009999968735,4232.456,4651.014,4690.18
4605.088999999025,4156.232,4774.32,4795.022
4533.953999998424,4117.062,4727.38,4738.554
4484.823999999521,4167.992,4737.336,4547.454
4590.865999999569,4146.094,4932.726,4797.512
4558.803999998297,4132.206,4750.59,4560.84
4389.083999999155,4220.6,4862.218,4822.972
4570.052999999118,4084.785,4584.188,4661.106
4456.210999999479,4223.614,4849.852,4963.172
4664.084999999412,4253.074,4717.108,4556.73
4463.718000000753,4139.321,4710.42,4689.74
4570.831999999751,4065.312,4633.98,4826.712
4620.825000000436,4253.282,4800.544,4609.292
4548.111999998127,4018.786,4675.936,4766.792
4433.121999999867,4161.066,4773.792,4954.762
4597.440999998014,4141.38,4733.726,4815.262
4463.028999998394,4001.534,5012.494,4734.496
4811.7699999978495,4124.306,4664.004,4595.952
4742.077999999333,4137.19,4558.872,4944.792
4413.495999998379,4164.754,4702.18,4805.304
4645.427999999474,4201.728,4769.168,4628.976
4527.172999998023,4158.266,4857.008,4548.624
4601.822999998094,4005.632,4836.108,4772.742
4524.203999999642,4204.639,4738.32,4832.952
4651.188000000086,4237.961,4793.196,4699.734
4558.44499999877,4180.596,4672.604,4739.08
4507.774999999146,4347.318,4953.89,4922.498
4344.366000000181,4310.384,4577.63,4739.514
4612.979999998815,4249.808,4883.452,5072.178
4727.0959999977085,4332.118,4885.326,4617.566
4746.78700000072,4080.523,4670.974,4969.72
4585.577999999276,4206.04,4860.274,4561.896
4486.072999999685,4050.756,4673.96,4822.082
4558.458999998965,4297.283,4838.312,4799.776
4670.674000000426,4343.994,4659.896,4775.168
4453.169999999598,4093.701,4871.448,4670.144
4473.2499999990605,4028.318,4886.054,4782.412
4347.564999999739,4302.987,4697.392,4549.262
4542.055999998802,4302.79,4673.14,4629.198
4489.459000000408,4170.016,4895.6,4544.75
4638.022999998339,4286.81,4710.544,4730.04
4507.4559999999265,4182.876,4882.42,4755.568
4423.9139999989575,4269.557,4622.186,4875.828
4444.709999999962,4300.593,4752.954,4769.666
4372.721999999139,4262.788,4906.544,4795.052
4652.675999998478,4160.088,4722.092,4637.984
4402.727999999428,4388.558,4657.616,4773.856
4522.309999998941,4256.603,4801.154,4886.764
4421.169000001154,4103.76,4613.576,4752.14
4416.393000000118,4096.335,4665.308,4734.032
4259.862999998888,4115.14,4849.216,4833.406
4679.523999999495,4160.187,4948.324,4840.798
4475.694999999658,4295.368,4748.608,4631.26
